IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,inforcer0.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: additionTool written by jkerai1,,,,,FALSE
DomainName,inforcer1.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: additionTool written by jkerai1,,,,,FALSE
DomainName,inforcer2.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: additionTool written by jkerai1,,,,,FALSE
DomainName,inforcer3.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: additionTool written by jkerai1,,,,,FALSE
DomainName,inforcer4.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: additionTool written by jkerai1,,,,,FALSE
DomainName,inforcer5.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: additionTool written by jkerai1,,,,,FALSE
DomainName,inforcer6.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: additionTool written by jkerai1,,,,,FALSE
DomainName,inforcer7.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: additionTool written by jkerai1,,,,,FALSE
DomainName,inforcer8.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: additionTool written by jkerai1,,,,,FALSE
DomainName,inforcer9.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: additionTool written by jkerai1,,,,,FALSE
DomainName,inforcera.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: additionTool written by jkerai1,,,,,FALSE
DomainName,inforcerb.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: additionTool written by jkerai1,,,,,FALSE
DomainName,inforcerc.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: additionTool written by jkerai1,,,,,FALSE
DomainName,inforcerd.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: additionTool written by jkerai1,,,,,FALSE
DomainName,inforcere.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: additionTool written by jkerai1,,,,,FALSE
DomainName,inforcerf.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: additionTool written by jkerai1,,,,,FALSE
